Название машины;Картинка;Описание;Цена
"
            Toyota Ist 1 поколение Хетчбэк , 2004 ";https://i.cars.kg/preview/r/a4wOE-ngwjicBdApMO7h8w/1080x-/20220716/69aa5033ff5323803d1854c88c47e8e4.jpg;"
                                    Хэтчбек,
                                        дипломат,
                                        1.5 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        задний,
                                    ";5700$ 
"
            Toyota Avalon XX30 [рестайлинг] Седан , 2008 ";https://i.cars.kg/preview/r/RAPrkpaL7eNI_cIKNpvqbw/1080x-/20220711/5ae59176c5e8f23cfd74718a40702687.jpg;"
                                    Седан,
                                        белый жемчуг,
                                        3.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,
                                    ";13500$ 
"
            Toyota Platz 1 поколение Седан , 2001 ";https://i.cars.kg/preview/r/IiNHi8LmKpfNSuznOiQxUA/1080x-/20220713/87dc59e343f126d1472a5ceb1bb40f3a.jpeg;"
                                    Седан,
                                                    1.5 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        передний,
                                    ";4900$ 
"
            Toyota Prius V 1 поколение Минивэн , 2016 ";https://i.cars.kg/preview/r/-10zArgbfXnb6eagXtmQDw/1080x-/20220523/8562d3a73b94d16a2c7a96e5be806c7b.jpg;"
                                    Минивэн / Бус,
                                        бирюзовый,
                                        1.8 л.,
                                        левый руль,
                                        гибрид,
                                        вариатор,
                                        передний,
                                    ";16700$ 
"
            Toyota Highlander , 2021 ";https://i.cars.kg/preview/r/p5gqPSAL4Vwk603FGURmKg/1080x-/20220329/fca0b17f57b6b5150ef4ece62dab5ae5.jpg;"
                                    Внедорожник / Пикап,
                                        белый,
                                        3.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,
                                    ";72000$ 
"
            Toyota Highlander 3 поколение Кроссовер , 2018 ";https://i.cars.kg/preview/r/0YFepBhLu4sFcGiR-p3g6g/1080x-/20220716/69974287057035da8886b3d07b17a944.jpg;"
                                    Кроссовер,
                                        коричневый,
                                        3.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,
                                    ";39900$ 
"
            Toyota Camry XV30 Седан , 2004 ";https://i.cars.kg/preview/r/QKmAx_13WerwXTnA5DnNkQ/1080x-/20220716/b54df9c37145cb2a99852fe3f0f56179.jpg;"
                                    Седан,
                                        черный,
                                        2.4 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,
                                    ";7700$ 
"
            Toyota Camry XV50 Седан 4-дв. , 2011 ";https://i.cars.kg/preview/r/4YX137VFRi-mZvmr9bsc0w/1080x-/20220716/d74465878ceba7a38e5b561b188d5414.jpg;"
                                    Седан,
                                        серебряный,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,
                                    ";15200$ 
"
            Toyota Camry XV50 Седан 4-дв. , 2011 ";https://i.cars.kg/preview/r/4YX137VFRi-mZvmr9bsc0w/1080x-/20220716/d74465878ceba7a38e5b561b188d5414.jpg;"
                                    Седан,
                                        серебряный,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,
                                    ";15200$ 
"
            Toyota Camry XV50 [рестайлинг] Седан , 2016 ";https://i.cars.kg/preview/r/m-Kk9x2N5ug3cl6mOcWkrw/1080x-/20220716/4edd230dae0eb065ac77031ec17429f9.jpg;"
                                    Седан,
                                        смарагд,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,
                                    ";17000$ 
"
            Toyota Highlander 3 поколение Кроссовер , 2015 ";https://i.cars.kg/preview/r/_L2L0atO3XtUammE1y1dcw/1080x-/20220715/9d328d06e118c95049733f47b6bbffa2.jpg;"
                                    Кроссовер,
                                        белый,
                                        3.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,
                                    ";32700$ 
"
            Toyota Camry XV30 Седан , 2003 ";https://i.cars.kg/preview/r/aN8Qez3KTF7Ei5BSGSUCCQ/1080x-/20220715/07c56bf7d5eb3f3499ec7052a4b33694.jpg;"
                                    Седан,
                                        белый,
                                        2.4 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,
                                    ";9300$ 
"
            Toyota RAV4 4 поколение [рестайлинг] Кроссовер , 2016 ";https://i.cars.kg/preview/r/uybBMZR_uIrIAmBfln2mHw/1080x-/20220715/8fe4c70697bd017511c38d0e9368d335.jpg;"
                                    Кроссовер,
                                        серебряный,
                                        2.5 л.,
                                        левый руль,
                                        гибрид,
                                        автомат,
                                        полный подключаемый,
                                    ";26500$ 
"
            Toyota Prius 4 поколение Хетчбэк , 2016 ";https://i.cars.kg/preview/r/TnASblxtOXAuBrEQR4QiNQ/1080x-/20220715/b896c4b5e1ab52661de589cceee0d236.jpeg;"
                                    Хэтчбек,
                                        белый,
                                        1.8 л.,
                                        левый руль,
                                        гибрид,
                                        вариатор,
                                        передний,
                                    ";18000$ 
"
            Toyota Yaris P1 Хетчбэк 5-дв. , 2000 ";https://i.cars.kg/preview/r/ueYiYhsk_UE48EWj8KDDBg/1080x-/20220715/719ac9b66785b6c8c58673813b0d919f.jpg;"
                                    Хэтчбек,
                                        золотой,
                                        1.3 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,
                                    ";51000$ 
"
            Toyota Kluger XU20 [рестайлинг] Внедорожник 5-дв. , 2004 ";https://i.cars.kg/preview/r/_8PFBfrs1bDo-yKvZFUyiA/1080x-/20220715/1cdd1b06b14ee89b091f1619f103bda2.jpeg;"
                                    Внедорожник / Пикап,
                                        белый жемчуг,
                                        3.0 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,
                                    ";13500$ 
"
            Toyota Camry XV50 [рестайлинг] Седан , 2015 ";https://i.cars.kg/preview/r/8EHKLJUU4hinOVxxDxHXiQ/1080x-/20220714/c2413ac3e792d9c314ba84a13ed8559d.jpeg;"
                                    Седан,
                                        белый,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,
                                    ";17000$ 
"
            Toyota Sequoia 2 поколение Внедорожник , 2011 ";https://i.cars.kg/preview/r/knwq0Rb2_eglxSY2Mms4kw/1080x-/20220714/64660396b09e9db27319e72edeaa5dd7.jpg;"
                                    Внедорожник / Пикап,
                                        белый жемчуг,
                                        5.7 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        полный подключаемый,
                                    ";32000$ 
"
            Toyota Land Cruiser J200 Внедорожник , 2011 ";https://i.cars.kg/preview/r/rvEuYSvM8D1pKMRbwH2YAA/1080x-/20220714/5d2c8412b83c30ea9b071bc57a5bc26b.jpg;"
                                    Внедорожник / Пикап,
                                        черный,
                                        4.7 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                                ";47000$ 
"
            Toyota Camry XV30 [рестайлинг] , 2005 ";https://i.cars.kg/preview/r/1VNSiJ6Hm6l0vGzbZo2EeQ/1080x-/20220713/283a75c17d2f76757a67a0a1fb53011e.jpg;"
                                    Седан,
                                        серый,
                                        24 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        передний,
                                    ";9262$ 
Название машины;Картинка;Описание;Цена
"
            Toyota Prius 4 поколение , 2016 ";https://i.cars.kg/preview/r/qQLwl19K2EaAZO7iVY3cTQ/1080x-/20220713/57518ec41e09770fd3dc22d658173d5e.jpg;"
                                    Хэтчбек,
                                        серебряный,
                                        1.8 л.,
                                        левый руль,
                                        гибрид,
                                        автомат,
                                                ";16600$ 
"
            Toyota RAV4 4 поколение [рестайлинг] Кроссовер , 2016 ";https://i.cars.kg/preview/r/um-Gi0ZkNTO_gAsqZ-o8AQ/1080x-/20220713/ec63323ca61e32aa6962059646f35006.jpg;"
                                    Кроссовер,
                                        серебряный,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        полный подключаемый,
                                    ";20000$ 
"
            Toyota Alphard 1 поколение Минивэн 5-дв. , 2007 ";https://i.cars.kg/preview/r/I0NCDqfYfyAq1dOpz2LCog/1080x-/20220711/7943496ce09f36c39bf1941cfc58c20b.jpg;"
                                    Минивэн / Бус,
                                        белый,
                                        3 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        передний,
                                    ";16919$ 
"
            Toyota RAV4 4 поколение [рестайлинг] Кроссовер , 2016 ";https://i.cars.kg/preview/r/9DnQM6-QkfyXGn-_J3rZIg/1080x-/20220711/2257c8a975145e3c86cedfdd5f06d073.jpg;"
                                    Кроссовер,
                                        красный,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        полный подключаемый,
                                    ";18900$ 
"
            Toyota Camry XV50 [рестайлинг] Седан , 2016 ";https://i.cars.kg/preview/r/KDAKrsVlgbrIM7MfMJtR5Q/1080x-/20220711/4df0b3baebf5c9c5b9143ccc328236e5.jpg;"
                                    Седан,
                                        серый,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,
                                    ";17700$ 
